"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"RUA VICENTE PASCHOALETTI";"local";27,00;;0,00;;0,00
"RUA VINÍCIUS DE MORAES";"local";128,00;;432,00;;0,00
"RUA VISCONDE DE TAUNAY";"local";46,00;;0,00;;0,00
"RUA VITÓRIA DA CONQUISTA";"local";65,00;;0,00;;0,00
"TRAVESSA DOS  BRILHANTES";"local";53,00;;0,00;;0,00
"TRAVESSA EDUARDO CAMPOS";"local";52,00;;0,00;;0,00
"TRAVESSA JOÃO ANTONIO";"local";54,00;;275,00;;0,00
"TRAVESSA MANOEL FLORA";"local";50,00;;0,00;;0,00
"TRAVESSA MORONI";"local";48,00;;207,00;;0,00
"TRAVESSA MOSIAS";"local";54,00;;0,00;;0,00
"TRAVESSA NÉFI";"local";54,00;;0,00;;0,00
"TRAVESSA RAIO DE SOL (JARDIM PEDREIRA)";"local";75,00;;394,00;;0,00
"TRAVESSA SÃO PAULO (VILA SÃO PEDRO)";"local";50,00;;0,00;;0,00
"VIELA NAZARÉ (VILA SÃO PEDRO)";"local";30,00;;0,00;;0,00
